Comment,Designator,Footprint,LCSC
TEFT4300,"Q1,Q2,Q3",LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm,C118301
2N3904,"Q4,Q5,Q6",TO-92_Inline,C118538
2.7k,"R11,R13,R15",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,C119880
18,"RLED1,RLED2,RLED3",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,C172523
10k,"R2,R5,R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,C274420
1K,"R1,R10,R12,R14,R4,R7",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,C274526
1M,"R3,R6,R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,C2894664
SFH_4544,"D1,D2,D3",LED_D5.0mm_Horizontal_O1.27mm_Z9.0mm,C2900370
Jumper_2_Open,JP4,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
Jumper_2_Open,JP1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
Jumper_2_Open,JP15,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
Jumper_2_Open,JP13,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
Jumper_2_Open,JP2,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
Jumper_2_Open,JP7,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
Jumper_2_Open,JP5,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
Jumper_2_Open,JP11,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
Jumper_2_Open,JP9,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
Jumper_2_Open,JP6,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
Jumper_2_Open,JP10,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
Jumper_2_Open,JP14,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
Jumper_2_Open,JP3,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
Jumper_2_Open,JP12,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
Jumper_2_Open,JP8,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
Conn_02x14_Odd_Even,J1,PinHeader_2x14_P2.54mm_Vertical,
