Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,SFH_4544,LED_D5.0mm_Horizontal_O1.27mm_Z9.0mm,122.2,-71.8,180.0,top
D2,SFH_4544,LED_D5.0mm_Horizontal_O1.27mm_Z9.0mm,86.7,-86.6,-90.0,top
D3,SFH_4544,LED_D5.0mm_Horizontal_O1.27mm_Z9.0mm,149.8,-81.0,90.0,top
J1,Conn_02x14_Odd_Even,PinHeader_2x14_P2.54mm_Vertical,118.3,-86.525,90.0,bottom
Q1,TEFT4300,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm,116.0,-70.3,180.0,top
Q2,TEFT4300,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm,85.0,-80.7,-90.0,top
Q3,TEFT4300,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm,151.425,-87.29,90.0,top
Q4,2N3904,TO-92_Inline,128.93,-77.7,0.0,top
Q5,2N3904,TO-92_Inline,96.9,-87.1,0.0,top
Q6,2N3904,TO-92_Inline,140.0,-86.1,0.0,top
R1,1K,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,105.295,-68.4,180.0,top
R2,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,105.295,-73.4,180.0,top
R3,1M,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,105.305,-78.4,0.0,top
R4,1K,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,92.0,-67.95,0.0,top
R5,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,92.0,-72.0,0.0,top
R6,1M,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,92.0,-75.5,180.0,top
R7,1K,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,144.595,-68.0,180.0,top
R8,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,144.595,-72.05,180.0,top
R9,1M,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,144.595,-76.1,0.0,top
R10,1k,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,131.945,-68.1,0.0,top
R11,2.7k,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,131.9,-71.7,180.0,top
R12,1k,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,98.845,-70.7,0.0,top
R13,2.7k,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,98.94,-75.3,180.0,top
R14,1k,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,138.8,-76.7,180.0,top
R15,2.7k,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,138.845,-81.6,0.0,top
RLED1,18,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,127.4,-70.0,90.0,top
RLED2,18,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,92.4,-80.595,90.0,top
RLED3,18,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,145.4,-86.8,90.0,top
